ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
COM_chco12;;Charlotte Corday;49.16423, -0.329024;;;;1;;;2
COM_cham02_1;;Champagne;49.19503, -0.389296;;;;1;;;2
COM_cobo02_1;;Couvrechef Bourg;49.21176, -0.378869;;;;1;;;2
COM_phle03;;Philippe Lebon;49.157932, -0.29728;;;;1;;;2
COM_cana01;;Canal;49.199627, -0.323964;;;;1;;;2
COM_pdra02_1;;Parc des Drapeaux;49.198044, -0.454415;;;;1;;;2
COM_sthu12;;Saint Hubert;49.191505, -0.328413;;;;1;;;2
COM_poca02_1;;Pont de Calix;49.1859, -0.335632;;;;1;;;2
COM_cycr01;;Cygne de Croix;49.170948, -0.353746;;;;1;;;2
COM_cocc02_1;;Corderie;49.189526, -0.331205;;;;1;;;2
COM_colco02;;Le Coutour;49.193478, -0.379695;;;;1;;;2
COM_ger02;;Gernez;49.194023, -0.383784;;;;1;;;2
COM_fond02_1;;La Fonderie BBC;49.21026, -0.33726;;;;1;;;2
COM_cam01_1;;Camus;49.19145, -0.408572;;;;1;;;2
COM_13ac02;;13 Acres;49.18975, -0.394455;;;;1;;;2
COM_movi01_1;;Mondevillage;49.160515, -0.301478;;;;1;;;2
COM_rice02_1;;Riva Centre;49.284508, -0.261776;;;;1;;;2
COM_rdja02;;Rue des Jardins;49.179672, -0.266523;;;;1;;;2
COM_vaba01;;Vallée Barrey;49.170967, -0.310116;;;;1;;;2
COM_ouco01;;Collège Monnet;49.280937, -0.255948;;;;1;;;2
COM_abar01;;Abbaye;49.197037, -0.413012;;;;1;;;2
COM_hebr02;;Brunet;49.203922, -0.433281;;;;1;;;2
COM_hmpl01;;Hermanville Plage;49.29783, -0.305539;;;;1;;;2
COM_citi22_1;;CITIS;49.212364, -0.355731;;;;1;;;2
COM_pldc11_1;;Place des Canadiens;49.189198, -0.414521;;;;1;;;2
COM_tourn02;;Tournières;49.18545, -0.389441;;;;1;;;2
COM_clmo02_1;;Claude Monet;49.16084, -0.346338;;;;1;;;2
COM_cabr01;;Cambridge;49.2172, -0.354508;;;;1;;;2
COM_plce02_1;;Place Centrale;49.1542, -0.329739;;;;1;;;2
COM_madu02_1;;Authie Mairie;49.20655, -0.430795;;;;1;;;2
COM_lyau02_1;;Lyautey;49.16781, -0.361389;;;;1;;;2
COM_gdno11_1;;Collège de Normandie;49.16208, -0.348345;;;;1;;;2
COM_roha;;Rose Harel;49.206234, -0.437646;;;;1;;;2
COM_jaca12;;Jacques Cartier;49.20876, -0.429408;;;;1;;;2
COM_lach01;;La Chouette;49.20167, -0.322327;;;;1;;;2
COM_deto02_1;;Detolle;49.18319, -0.385126;;;;1;;;2
COM_lite01;;Lionel Terray;49.17786, -0.279061;;;;1;;;2
COM_cljo02;;Clos Joli;49.154713, -0.336071;;;;1;;;2
COM_hamo01;;Hauts de Mondeville;49.172768, -0.304011;;;;1;;;2
COM_volt02;;Voltaire;49.23243, -0.304866;;;;1;;;2
COM_stpr01;;Prestavoine;49.201065, -0.342888;;;;1;;;2
COM_pojo02;;Point du Jour;49.1802, -0.297357;;;;1;;;2
COM_magi01_1;;Giberville Mairie;49.18111, -0.281702;;;;1;;;2
COM_qu04;;Château Quatrans;49.185238, -0.363779;;;;1;;;0
COM_cim01;;Café des Images;49.202442, -0.332425;;;;1;;;2
COM_stpi02_1;;Saint-Pierre;49.183773, -0.360041;;;;1;;;2
COM_jv01;;Jean Vilar;49.15015, -0.351018;;;;1;;;0
COM_rdo02;;Gare - Rives de l'Orne;49.1784, -0.350684;;;;1;;;2
COM_cb01_1;;Campus 4;49.209026, -0.358835;;;;1;;;2
COM_li01;;Liberté;49.160713, -0.343182;;;;1;;;2
COM_cdn01;;Côte de Nacre;49.21096, -0.362195;;;;1;;;2
COM_gs01;;Gare SNCF;49.175903, -0.348387;;;;1;;;2
COM_gdd01;;Grâce de Dieu;49.161346, -0.360227;;;;1;;;2
COM_rtan03;;Route d'Anisy;49.242878, -0.405917;;;;1;;;2
COM_rtha01_1;;Route d'Harcourt;49.15634, -0.369238;;;;1;;;2
COM_mebou02;;Mesnil Bourg;49.203983, -0.183482;;;;1;;;2
COM_clha02;;Clos du Hamel;49.11813, -0.374746;;;;1;;;2
ARCOM@C102;;Parc Expo;49.170784, -0.373891;;;;1;;;2
COM_osty02;;Ostiguy;49.128887, -0.377099;;;;1;;;2
1150260;;Édimbourg;49.192802, -0.359708;;;;1;;;2
1150262;;Campus 2;49.211456, -0.363657;;;;1;;;2
StopAreaCAE3841;;Collège Montgomeri;49.180687, -0.187491;;;;1;;;2
StopAreaCAE3834;;Salle Verte;49.201927, -0.196371;;;;1;;;2
COM_jeun01;;Cairon Château;49.238003, -0.450427;;;;1;;;2
COM_grpa02;;Grand Parc;49.20232, -0.336945;;;;1;;;2
COM_suno01;;Suisse Normande;49.140343, -0.373249;;;;1;;;2
COM_chr01;;CHR;49.189945, -0.344429;;;;1;;;2
COM_vauc02_1;;Vaucelles;49.17393, -0.353906;;;;1;;;2
COM_cibe02_1;;Cité Bellevue;49.187386, -0.412497;;;;1;;;2
COM_egcu01;;Cuverville Eglise;49.188713, -0.264546;;;;1;;;2
COM_ceaq11_1;;Centre Aquatique;49.187424, -0.441759;;;;1;;;2
COM_indu01_1;;Industrie;49.15709, -0.326572;;;;1;;;2
COM_aerc11;;Aéroport;49.18389, -0.458573;;;;1;;;2
COM_resa02;;Sanchez;49.183807, -0.385801;;;;1;;;2
COM_stad02;;Troarn Stade;49.18209, -0.187389;;;;1;;;2
COM_rofr02;;Rostand Fresnel;49.162083, -0.354144;;;;1;;;2
ARCOM@FLU020;;Fleury Château d'Eau;49.15215, -0.371296;;;;1;;;2
